model,variable,coef,se,pvalue,n,r2,adj_r2
M1_age_only,Intercept,94.62712,6.23334,0.0,1033,0.0257,0.0248
M1_age_only,age,-0.44602,0.08551,0.0,1033,0.0257,0.0248
M2_age_controls,Intercept,78.35654,6.40884,0.0,1033,0.1767,0.167
M2_age_controls,"C(educ_cat, Treatment(reference='hs'))[T.lt_hs]",-5.58979,1.91211,0.00354,1033,0.1767,0.167
M2_age_controls,"C(educ_cat, Treatment(reference='hs'))[T.some_college]",3.41101,1.71324,0.04675,1033,0.1767,0.167
M2_age_controls,"C(educ_cat, Treatment(reference='hs'))[T.college_plus]",7.00647,1.89464,0.00023,1033,0.1767,0.167
M2_age_controls,age,-0.39462,0.08381,0.0,1033,0.1767,0.167
M2_age_controls,male,6.91783,1.3517,0.0,1033,0.1767,0.167
M2_age_controls,white,4.4754,1.64046,0.00648,1033,0.1767,0.167
M2_age_controls,married,-1.03969,1.54275,0.50051,1033,0.1767,0.167
M2_age_controls,homeowner,2.63627,1.7904,0.14121,1033,0.1767,0.167
M2_age_controls,stock_owner,5.41011,1.66096,0.00116,1033,0.1767,0.167
M2_age_controls,tax_sheltered,4.4407,1.51094,0.00337,1033,0.1767,0.167
M2_age_controls,high_income,2.0022,1.85613,0.28098,1033,0.1767,0.167
M2_age_controls,high_wealth,-1.72368,1.83975,0.34903,1033,0.1767,0.167
M3_age_cohortFE,Intercept,68.74047,44.83822,0.12557,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1915.0],-5.83196,15.39779,0.70495,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1920.0],-5.10398,15.35811,0.73971,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1925.0],-4.33145,15.9242,0.78567,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1930.0],-0.63727,16.77863,0.96971,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1935.0],0.33816,17.89902,0.98493,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1940.0],-1.22173,19.17101,0.9492,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1945.0],-0.6668,20.85342,0.9745,1033,0.1801,0.1639
M3_age_cohortFE,C(cohort5)[T.1950.0],2.35885,21.843,0.91402,1033,0.1801,0.1639
M3_age_cohortFE,"C(educ_cat, Treatment(reference='hs'))[T.lt_hs]",-5.75061,1.9268,0.00291,1033,0.1801,0.1639
M3_age_cohortFE,"C(educ_cat, Treatment(reference='hs'))[T.some_college]",3.55896,1.7262,0.03949,1033,0.1801,0.1639
M3_age_cohortFE,"C(educ_cat, Treatment(reference='hs'))[T.college_plus]",7.38301,1.92757,0.00014,1033,0.1801,0.1639
M3_age_cohortFE,age,-0.24376,0.44184,0.58128,1033,0.1801,0.1639
M3_age_cohortFE,male,6.80439,1.36035,0.0,1033,0.1801,0.1639
M3_age_cohortFE,white,4.56213,1.65164,0.00585,1033,0.1801,0.1639
M3_age_cohortFE,married,-1.20425,1.55567,0.43905,1033,0.1801,0.1639
M3_age_cohortFE,homeowner,2.50181,1.8092,0.16702,1033,0.1801,0.1639
M3_age_cohortFE,stock_owner,5.4418,1.67003,0.00116,1033,0.1801,0.1639
M3_age_cohortFE,tax_sheltered,4.31609,1.52832,0.00483,1033,0.1801,0.1639
M3_age_cohortFE,high_income,2.11823,1.87339,0.25845,1033,0.1801,0.1639
M3_age_cohortFE,high_wealth,-1.95644,1.85234,0.29113,1033,0.1801,0.1639
M4_cog_level_only,Intercept,31.99098,15.11718,0.03457,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1915.0],-5.47303,15.20752,0.719,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1920.0],-3.59511,14.77096,0.80775,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1925.0],-1.78123,14.72375,0.90373,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1930.0],3.14818,14.64268,0.82981,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1935.0],5.69507,14.61397,0.69684,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1940.0],5.6082,14.61068,0.70118,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1945.0],8.63056,14.63188,0.55543,1033,0.1913,0.1753
M4_cog_level_only,C(cohort5)[T.1950.0],12.18592,14.99668,0.41665,1033,0.1913,0.1753
M4_cog_level_only,"C(educ_cat, Treatment(reference='hs'))[T.lt_hs]",-4.28787,1.95323,0.02837,1033,0.1913,0.1753
M4_cog_level_only,"C(educ_cat, Treatment(reference='hs'))[T.some_college]",2.80475,1.72613,0.1045,1033,0.1913,0.1753
M4_cog_level_only,"C(educ_cat, Treatment(reference='hs'))[T.college_plus]",5.88106,1.95558,0.0027,1033,0.1913,0.1753
M4_cog_level_only,tr20_level,1.47575,0.39081,0.00017,1033,0.1913,0.1753
M4_cog_level_only,male,8.24021,1.40456,0.0,1033,0.1913,0.1753
M4_cog_level_only,white,3.78178,1.64974,0.02209,1033,0.1913,0.1753
M4_cog_level_only,married,-1.22263,1.53973,0.42735,1033,0.1913,0.1753
M4_cog_level_only,homeowner,1.98452,1.79947,0.27036,1033,0.1913,0.1753
M4_cog_level_only,stock_owner,5.28235,1.65837,0.00149,1033,0.1913,0.1753
M4_cog_level_only,tax_sheltered,3.79824,1.52399,0.01285,1033,0.1913,0.1753
M4_cog_level_only,high_income,1.63873,1.86497,0.37978,1033,0.1913,0.1753
M4_cog_level_only,high_wealth,-1.94567,1.8382,0.29009,1033,0.1913,0.1753
M5_cog_slope_only,Intercept,34.65777,15.66256,0.02714,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1915.0],-4.92392,15.28173,0.74736,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1920.0],-2.76403,14.84321,0.85231,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1925.0],-0.90691,14.79558,0.95114,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1930.0],4.03597,14.71433,0.78392,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1935.0],6.26703,14.68652,0.66967,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1940.0],5.89397,14.68351,0.68821,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1945.0],8.30419,14.70622,0.57242,1033,0.1833,0.1671
M5_cog_slope_only,C(cohort5)[T.1950.0],11.85993,15.0725,0.43155,1033,0.1833,0.1671
M5_cog_slope_only,"C(educ_cat, Treatment(reference='hs'))[T.lt_hs]",-5.44736,1.92888,0.00483,1033,0.1833,0.1671
M5_cog_slope_only,"C(educ_cat, Treatment(reference='hs'))[T.some_college]",3.52385,1.72295,0.04109,1033,0.1833,0.1671
M5_cog_slope_only,"C(educ_cat, Treatment(reference='hs'))[T.college_plus]",7.05977,1.93046,0.00027,1033,0.1833,0.1671
M5_cog_slope_only,tr20_change,-72.69257,35.35631,0.04004,1033,0.1833,0.1671
M5_cog_slope_only,male,7.1085,1.36637,0.0,1033,0.1833,0.1671
M5_cog_slope_only,white,4.3211,1.64903,0.00891,1033,0.1833,0.1671
M5_cog_slope_only,married,-1.16519,1.5472,0.45157,1033,0.1833,0.1671
M5_cog_slope_only,homeowner,2.34389,1.80479,0.19434,1033,0.1833,0.1671
M5_cog_slope_only,stock_owner,5.50794,1.66583,0.00098,1033,0.1833,0.1671
M5_cog_slope_only,tax_sheltered,4.1398,1.52768,0.00684,1033,0.1833,0.1671
M5_cog_slope_only,high_income,1.91461,1.87259,0.30682,1033,0.1833,0.1671
M5_cog_slope_only,high_wealth,-2.10804,1.84962,0.25467,1033,0.1833,0.1671
M6_full,Intercept,61.51248,45.25565,0.17438,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1915.0],-6.66129,15.30511,0.66349,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1920.0],-6.37149,15.27684,0.67672,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1925.0],-6.03352,15.84991,0.70353,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1930.0],-2.73125,16.71279,0.87022,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1935.0],-1.81156,17.8352,0.91912,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1940.0],-3.47084,19.10794,0.8559,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1945.0],-2.21695,20.79476,0.91512,1033,0.1919,0.1743
M6_full,C(cohort5)[T.1950.0],0.56849,21.78288,0.97918,1033,0.1919,0.1743
M6_full,"C(educ_cat, Treatment(reference='hs'))[T.lt_hs]",-4.21267,1.95701,0.03159,1033,0.1919,0.1743
M6_full,"C(educ_cat, Treatment(reference='hs'))[T.some_college]",2.82276,1.72886,0.10284,1033,0.1919,0.1743
M6_full,"C(educ_cat, Treatment(reference='hs'))[T.college_plus]",5.85978,1.95707,0.00282,1033,0.1919,0.1743
M6_full,tr20_level,1.41129,0.4333,0.00116,1033,0.1919,0.1743
M6_full,tr20_change,-17.58212,38.99363,0.65216,1033,0.1919,0.1743
M6_full,age,-0.32915,0.44167,0.4563,1033,0.1919,0.1743
M6_full,male,8.28377,1.40679,0.0,1033,0.1919,0.1743
M6_full,white,3.82935,1.65237,0.02068,1033,0.1919,0.1743
M6_full,married,-1.32461,1.5463,0.39185,1033,0.1919,0.1743
M6_full,homeowner,2.03726,1.80197,0.2585,1033,0.1919,0.1743
M6_full,stock_owner,5.25464,1.66117,0.00161,1033,0.1919,0.1743
M6_full,tax_sheltered,3.78317,1.52515,0.01328,1033,0.1919,0.1743
M6_full,high_income,1.58052,1.86733,0.39753,1033,0.1919,0.1743
M6_full,high_wealth,-2.04731,1.84317,0.26694,1033,0.1919,0.1743
M7_ser7,Intercept,57.55568,44.86567,0.19984,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1915.0],-4.86248,15.36593,0.75173,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1920.0],-3.29911,15.33289,0.82968,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1925.0],-2.13578,15.89717,0.89315,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1930.0],1.83209,16.75319,0.91294,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1935.0],3.0429,17.87278,0.86485,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1940.0],2.26054,19.14866,0.90605,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1945.0],3.08727,20.82851,0.8822,1033,0.1875,0.1698
M7_ser7,C(cohort5)[T.1950.0],5.89151,21.80889,0.78711,1033,0.1875,0.1698
M7_ser7,"C(educ_cat, Treatment(reference='hs'))[T.lt_hs]",-3.9516,2.01283,0.0499,1033,0.1875,0.1698
M7_ser7,"C(educ_cat, Treatment(reference='hs'))[T.some_college]",3.11602,1.72654,0.07141,1033,0.1875,0.1698
M7_ser7,"C(educ_cat, Treatment(reference='hs'))[T.college_plus]",6.61182,1.94,0.00068,1033,0.1875,0.1698
M7_ser7,ser7_level,1.93914,0.73504,0.00846,1033,0.1875,0.1698
M7_ser7,ser7_change,13.24971,63.54464,0.83487,1033,0.1875,0.1698
M7_ser7,age,-0.20258,0.4405,0.64569,1033,0.1875,0.1698
M7_ser7,male,6.22967,1.36947,1e-05,1033,0.1875,0.1698
M7_ser7,white,3.56694,1.67848,0.03382,1033,0.1875,0.1698
M7_ser7,married,-1.2372,1.55035,0.42505,1033,0.1875,0.1698
M7_ser7,homeowner,2.20421,1.80553,0.22244,1033,0.1875,0.1698
M7_ser7,stock_owner,5.36466,1.66438,0.00131,1033,0.1875,0.1698
M7_ser7,tax_sheltered,3.9644,1.52798,0.00961,1033,0.1875,0.1698
M7_ser7,high_income,1.86085,1.87,0.31992,1033,0.1875,0.1698
M7_ser7,high_wealth,-1.8715,1.84659,0.31107,1033,0.1875,0.1698
M8_both,Intercept,54.96128,45.37412,0.22607,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1915.0],-5.67033,15.32034,0.71137,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1920.0],-4.73555,15.30593,0.75709,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1925.0],-4.07321,15.88376,0.79766,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1930.0],-0.48636,16.75593,0.97685,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1935.0],0.62787,17.88325,0.972,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1940.0],-0.51538,19.16896,0.97856,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1945.0],0.85393,20.85663,0.96735,1033,0.1947,0.1755
M8_both,C(cohort5)[T.1950.0],3.55341,21.83808,0.87077,1033,0.1947,0.1755
M8_both,"C(educ_cat, Treatment(reference='hs'))[T.lt_hs]",-3.35279,2.01653,0.09669,1033,0.1947,0.1755
M8_both,"C(educ_cat, Treatment(reference='hs'))[T.some_college]",2.68235,1.72973,0.12128,1033,0.1947,0.1755
M8_both,"C(educ_cat, Treatment(reference='hs'))[T.college_plus]",5.65439,1.96109,0.00402,1033,0.1947,0.1755
M8_both,tr20_level,1.1428,0.45704,0.01256,1033,0.1947,0.1755
M8_both,tr20_change,-19.82782,39.42403,0.61512,1033,0.1947,0.1755
M8_both,ser7_level,1.1508,0.7783,0.13956,1033,0.1947,0.1755
M8_both,ser7_change,24.87009,64.11108,0.69816,1033,0.1947,0.1755
M8_both,age,-0.28222,0.4421,0.52339,1033,0.1947,0.1755
M8_both,male,7.64756,1.44769,0.0,1033,0.1947,0.1755
M8_both,white,3.31076,1.67493,0.04835,1033,0.1947,0.1755
M8_both,married,-1.32894,1.54533,0.39001,1033,0.1947,0.1755
M8_both,homeowner,1.92506,1.80173,0.28557,1033,0.1947,0.1755
M8_both,stock_owner,5.24149,1.66003,0.00164,1033,0.1947,0.1755
M8_both,tax_sheltered,3.63468,1.5268,0.01747,1033,0.1947,0.1755
M8_both,high_income,1.51854,1.86725,0.41627,1033,0.1947,0.1755
M8_both,high_wealth,-1.97825,1.84242,0.2832,1033,0.1947,0.1755
